i j r c x
1 1 1 5940881.45545 1228833.71763
1 2 1 90417.1825045 102896.531451
1 3 1 65301.3765215 28664.3476751
1 4 1 43703.9041891 20157.5869087
2 1 1 69219.7862895 43926.5714665
2 2 1 10745248.85 3309469.18246
2 3 1 102502.898399 24901.0190772
2 4 1 75171.7841042 21712.982946
3 1 1 20334.5444723 19831.7674765
3 2 1 62087.7256331 69283.1096769
3 3 1 2589292.9482 997472.478944
3 4 1 22205.1118643 7347.73562898
4 1 1 35661.3890694 23483.0059375
4 2 1 101118.300777 115209.504631
4 3 1 25153.9214403 23183.4114672
4 4 1 2473776.13571 660108.615339

