i j r c x
1 1 1 5037436.44483 1032478.82489
1 2 1 73447.285121 83513.3647105
1 3 1 92944.0766467 40763.5419355
1 4 1 56119.0036516 25861.7986475
2 1 1 64142.7382601 40731.3002355
2 2 1 7629688.65489 2350851.94631
2 3 1 147955.275941 35966.2497969
2 4 1 97890.2648551 28293.5773525
3 1 1 30163.9442888 30247.6246188
3 2 1 81876.9955891 93941.9757618
3 3 1 5121277.57167 2003980.66893
3 4 1 46288.600591 15748.9200666
4 1 1 40838.0945692 28099.1157417
4 2 1 102943.621561 122554.634592
4 3 1 44869.3712251 43210.9064867
4 4 1 3544164.23078 970268.258757

