i j r c x
1 1 1 5903570.30743 1200447.79735
1 2 1 66686.0697647 90076.0572317
1 3 1 115878.430453 60373.5635906
1 4 1 54169.1110246 29654.7655013
2 1 1 60267.5690034 44733.6977605
2 2 1 10580356.6504 3249000.29313
2 3 1 232449.927659 66048.7287009
2 4 1 119069.17164 40227.0363499
3 1 1 44689.922115 47515.7901004
3 2 1 147715.012494 179699.819127
3 3 1 2412734.57186 834692.124802
3 4 1 88780.8236965 32027.3576974
4 1 1 45429.9298004 30199.7648996
4 2 1 139449.611114 160391.71009
4 3 1 83462.1100555 77654.5786019
4 4 1 2367368.09603 553738.483784

