,country,countrycode
0,Angola,AGO
62,Albania,ALB
124,Argentina,ARG
186,Armenia,ARM
248,Antigua and Barbuda,ATG
310,Australia,AUS
372,Austria,AUT
434,Azerbaijan,AZE
496,Burundi,BDI
558,Belgium,BEL
620,Benin,BEN
682,Burkina Faso,BFA
744,Bangladesh,BGD
806,Bulgaria,BGR
868,Bahrain,BHR
930,Bahamas,BHS
992,Bosnia and Herzegovina,BIH
1054,Belarus,BLR
1116,Belize,BLZ
1178,Bermuda,BMU
1240,Bolivia,BOL
1302,Brazil,BRA
1364,Barbados,BRB
1426,Brunei,BRN
1488,Bhutan,BTN
1550,Botswana,BWA
1612,Central African Republic,CAF
1674,Canada,CAN
1736,Switzerland,CHE
1798,Chile,CHL
1860,China,CHN
1922,Cote d`Ivoire,CIV
1984,Cameroon,CMR
2046,"Congo, Dem. Rep.",COD
2108,"Congo, Republic of",COG
2170,Colombia,COL
2232,Comoros,COM
2294,Cape Verde,CPV
2356,Costa Rica,CRI
2418,Cyprus,CYP
2480,Czech Republic,CZE
2542,Germany,DEU
2604,Djibouti,DJI
2666,Dominica,DMA
2728,Denmark,DNK
2790,Dominican Republic,DOM
2852,Ecuador,ECU
2914,Egypt,EGY
2976,Spain,ESP
3038,Estonia,EST
3100,Ethiopia,ETH
3162,Finland,FIN
3224,Fiji,FJI
3286,France,FRA
3348,Gabon,GAB
3410,United Kingdom,GBR
3472,Georgia,GEO
3534,Ghana,GHA
3596,Guinea,GIN
3658,"Gambia, The",GMB
3720,Guinea-Bissau,GNB
3782,Equatorial Guinea,GNQ
3844,Greece,GRC
3906,Grenada,GRD
3968,Guatemala,GTM
4030,Hong Kong,HKG
4092,Honduras,HND
4154,Croatia,HRV
4216,Hungary,HUN
4278,Indonesia,IDN
4340,India,IND
4402,Ireland,IRL
4464,Iran,IRN
4526,Iraq,IRQ
4588,Iceland,ISL
4650,Israel,ISR
4712,Italy,ITA
4774,Jamaica,JAM
4836,Jordan,JOR
4898,Japan,JPN
4960,Kazakhstan,KAZ
5022,Kenya,KEN
5084,Kyrgyzstan,KGZ
5146,Cambodia,KHM
5208,St. Kitts & Nevis,KNA
5270,"Korea, Republic of",KOR
5332,Kuwait,KWT
5394,Laos,LAO
5456,Lebanon,LBN
5518,Liberia,LBR
5580,St. Lucia,LCA
5642,Sri Lanka,LKA
5704,Lesotho,LSO
5766,Lithuania,LTU
5828,Luxembourg,LUX
5890,Latvia,LVA
5952,Macao,MAC
6014,Morocco,MAR
6076,Moldova,MDA
6138,Madagascar,MDG
6200,Maldives,MDV
6262,Mexico,MEX
6324,Macedonia,MKD
6386,Mali,MLI
6448,Malta,MLT
6510,Montenegro,MNE
6572,Mongolia,MNG
6634,Mozambique,MOZ
6696,Mauritania,MRT
6758,Mauritius,MUS
6820,Malawi,MWI
6882,Malaysia,MYS
6944,Namibia,NAM
7006,Niger,NER
7068,Nigeria,NGA
7130,Netherlands,NLD
7192,Norway,NOR
7254,Nepal,NPL
7316,New Zealand,NZL
7378,Oman,OMN
7440,Pakistan,PAK
7502,Panama,PAN
7564,Peru,PER
7626,Philippines,PHL
7688,Poland,POL
7750,Portugal,PRT
7812,Paraguay,PRY
7874,Qatar,QAT
7936,Romania,ROU
7998,Russia,RUS
8060,Rwanda,RWA
8122,Saudi Arabia,SAU
8184,Sudan,SDN
8246,Senegal,SEN
8308,Singapore,SGP
8370,Sierra Leone,SLE
8432,El Salvador,SLV
8494,Serbia,SRB
8556,Sao Tome and Principe,STP
8618,Suriname,SUR
8680,Slovak Republic,SVK
8742,Slovenia,SVN
8804,Sweden,SWE
8866,Swaziland,SWZ
8928,Syria,SYR
8990,Chad,TCD
9052,Togo,TGO
9114,Thailand,THA
9176,Tajikistan,TJK
9238,Turkmenistan,TKM
9300,Trinidad & Tobago,TTO
9362,Tunisia,TUN
9424,Turkey,TUR
9486,Taiwan,TWN
9548,Tanzania,TZA
9610,Uganda,UGA
9672,Ukraine,UKR
9734,Uruguay,URY
9796,United States,USA
9858,Uzbekistan,UZB
9920,St.Vincent & Grenadines,VCT
9982,Venezuela,VEN
10044,Vietnam,VNM
10106,Yemen,YEM
10168,South Africa,ZAF
10230,Zambia,ZMB
10292,Zimbabwe,ZWE
