region,year,gdp,ftrd,im,ex,go,tbe,exf,imf,imi,exi,gtrd,ishare,itrd
ADV,1995,14763271.0169,988865.168113,1126179.47285,1497297.25719,27770754.965,371117.784341,595102.910034,393762.258079,732417.214768,902194.347154,2623476.73004,0.623070730229,1634611.56192
ADV,1996,14381943.892,1021262.03758,1186983.62936,1553156.00243,26989281.1897,366172.373067,607226.487691,414035.549886,772948.079476,945929.514738,2740139.63179,0.627295621826,1718877.59421
ADV,1997,13543921.8305,1009742.25537,1179165.07676,1580278.65651,25546557.6419,401113.57975,601297.917771,408444.337595,770720.739164,978980.738738,2759443.73327,0.634077606587,1749701.4779
ADV,1998,13361846.0073,1046199.28544,1166361.83395,1540575.32683,25154883.7162,374213.492879,624240.884752,421958.400688,744403.433264,916334.442079,2706937.16078,0.613511794586,1660737.87534
ADV,1999,13926340.3895,1111564.64277,1276935.56254,1617717.87866,26322653.1152,340782.316125,639511.997826,472052.644944,804882.917593,978205.880836,2894653.4412,0.615993877903,1783088.79843
ADV,2000,13685590.4272,1196315.36904,1484010.45036,1791035.19319,26257251.9355,307024.742837,679610.55631,516704.812731,967305.637626,1111424.63688,3275045.64355,0.634717955337,2078730.27451
ADV,2001,13044799.3241,1183095.51048,1449196.23163,1749457.32277,25118026.4527,300261.091141,670643.632735,512451.877748,936744.353881,1078813.69004,3198653.5544,0.630127023648,2015558.04392
ADV,2002,13684252.6709,1252587.5734,1482453.86979,1861063.03623,26136400.466,378609.166444,720445.51966,532142.05374,950311.816046,1140617.51657,3343516.90602,0.625368254862,2090929.33262
ADV,2003,16159257.3134,1434778.52473,1726196.94852,2148285.76864,30789643.5779,422088.820121,817556.797903,617221.726827,1108975.2217,1330728.97074,3874482.71717,0.629685140065,2439704.19244
ADV,2004,18405185.5566,1640701.46094,2080256.61993,2570271.53167,35229335.6541,490014.911738,919077.038514,721624.422424,1358632.19751,1651194.49315,4650528.1516,0.647201047396,3009826.69066
ADV,2005,19115853.4587,1816368.71109,2420707.3612,2840588.32664,37036803.0361,419880.965431,999562.31359,816806.397499,1603900.96371,1841026.01305,5261295.68784,0.654767795072,3444926.97675
ADV,2006,19907923.7024,2029964.49868,2788904.48004,3172796.16466,38998188.2109,383891.684622,1107472.60067,922491.898008,1866412.58203,2065323.56399,5961700.6447,0.659499089327,3931736.14602
ADV,2007,22271053.1401,2356399.91267,3260347.30038,3732868.66499,43829993.3897,472521.364616,1282308.05216,1074091.86051,2186255.43986,2450560.61284,6993215.96537,0.663044881734,4636816.0527
ADV,2008,24139057.4951,2685175.67534,3817822.0293,4246512.56144,47971601.9106,428690.532141,1453065.207,1232110.46834,2585711.56096,2793447.35445,8064334.59074,0.667030720871,5379158.91541
ADV,2009,22306117.8876,2186572.63271,2915492.85227,3285729.13915,43009228.1344,370236.286881,1138986.47222,1047586.16049,1867906.69179,2146742.66693,6201221.99142,0.647396491251,4014649.35871
ADV,2010,23236502.5644,2582317.10515,3544432.85266,3964158.02071,45283509.9261,419725.168054,1364731.79007,1217585.31508,2326847.53758,2599426.23063,7508590.87336,0.656084990019,4926273.76821
ADV,2011,25333682.8756,2848823.34318,4098110.959,4431597.46524,49508651.3178,333486.506237,1463443.41384,1385379.92935,2712731.02965,2968154.0514,8529708.42424,0.666011638207,5680885.08105
EME,1995,3845397.76968,535112.676729,681234.130237,738776.2178,7933043.86555,57542.087563,300617.800484,234494.876245,446739.253992,438158.417316,1420010.34804,0.623162832955,884897.671308
EME,1996,4296109.02902,569262.834485,733614.907353,783694.884531,8869751.21616,50079.977178,320096.719782,249166.114703,484448.79265,463598.164749,1517309.79188,0.62482095777,948046.957399
EME,1997,4522795.55022,592862.888186,766741.821293,841320.049048,9339954.82221,74578.227755,344837.009058,248025.879128,518715.942165,496483.03999,1608061.87034,0.631318359622,1015198.98215
EME,1998,4179182.20806,609160.739118,736135.296806,853659.813886,8655137.98398,117524.51708,360459.597695,248701.141423,487434.155383,493200.216191,1589795.11069,0.61683066263,980634.371574
EME,1999,4114002.7289,631783.236487,776574.263121,887592.922768,8633907.50946,111018.659647,386472.063191,245311.173296,531263.089825,501120.859577,1664167.18589,0.620360717454,1032383.9494
EME,2000,4559191.95647,744687.79018,952222.974913,1076851.85265,9656958.01929,124628.877738,459702.665217,284985.124963,667237.84995,617149.187434,2029074.82756,0.632991459919,1284387.03738
EME,2001,4672473.64693,746376.911764,935515.581937,1050090.66004,9923488.60579,114575.078107,458443.935364,287932.9764,647582.605537,591646.72468,1985606.24198,0.624106282513,1239229.33022
EME,2002,5031636.59117,805352.194183,999961.29065,1149646.37345,10710489.9359,149685.082804,496221.935562,309130.258621,690831.032029,653424.437892,2149607.6641,0.625349217147,1344255.46992
EME,2003,5600848.22491,938386.811231,1187192.95116,1371845.14364,12217999.8967,184652.192483,579830.106932,358556.704299,828636.246859,792015.036709,2559038.0948,0.633304868287,1620651.28357
EME,2004,6536178.32538,1117435.27953,1515760.13083,1751934.45379,14509232.9296,236174.322963,690122.153693,427313.125837,1088447.00499,1061812.3001,3267694.58462,0.658035581174,2150259.30509
EME,2005,7715487.2016,1304541.84885,1759897.7242,2106521.11526,17397619.7551,346623.391064,817223.963496,487317.885351,1272579.83885,1289297.15176,3866418.83946,0.662596862105,2561876.99061
EME,2006,9094232.14205,1534125.26193,2075997.78742,2535756.50495,20945288.2063,459758.717534,975982.176403,558143.085524,1517854.7019,1559774.32855,4611754.29237,0.667344536446,3077629.03045
EME,2007,11181146.5324,1843286.26788,2498454.58722,3027693.45459,26193211.6604,529238.867371,1168928.23079,674358.037091,1824096.55013,1858765.2238,5526148.04181,0.666442836142,3682861.77392
EME,2008,13042414.8245,2098163.41114,2936878.55049,3460483.22708,31206980.7981,523604.676587,1300582.07943,797581.331707,2139297.21878,2159901.14765,6397361.77757,0.672026769145,4299198.36643
EME,2009,12609407.9391,1806105.02694,2307361.66102,2761620.58985,30302754.7212,454258.928825,1140683.71977,665421.307174,1641940.35385,1620936.87008,5068982.25087,0.643694742345,3262877.22392
EME,2010,15157554.7178,2206554.5329,2971226.56314,3474794.43437,36458944.3449,503567.871229,1362115.81051,844438.722385,2126787.84075,2112678.62386,6446020.99751,0.657687349491,4239466.46461
EME,2011,17904136.837,2505236.22852,3536832.54316,4059664.918,43237188.7958,522832.374835,1569783.69222,935452.536296,2601380.00687,2489881.22578,7596497.46116,0.670211667768,5091261.23264
USA,1995,7449828.61483,620115.505886,836252.810788,765225.317341,13475212.9776,-71027.493447,244442.768441,375672.737445,460580.073343,520782.5489,1601478.12813,0.612785529197,981362.622243
USA,1996,7876289.48335,659884.269324,892267.218302,816263.566385,14272864.3399,-76003.651917,260162.166237,399722.103087,492545.115215,556101.400148,1708530.78469,0.613770922223,1048646.51536
USA,1997,8372483.04637,734143.235863,969989.910779,902571.288712,15168254.2266,-67418.622067,292508.811416,441634.424447,528355.486332,610062.477296,1872561.19949,0.607947000043,1138417.96363
USA,1998,8825286.02212,754840.64871,987743.849328,864155.898042,15986187.0498,-123587.951286,286338.187308,468502.461402,519241.387926,577817.710734,1851899.74737,0.59239659178,1097059.09866
USA,1999,9386738.04484,823385.112683,1111816.71048,889289.0739,17016289.9082,-222527.636582,289547.519659,533837.593024,577979.117458,599741.554241,2001105.78438,0.588534939477,1177720.6717
USA,2000,9991429.78101,938089.712534,1316038.52957,982508.57608,18304783.0254,-333529.953489,319065.007356,619024.705178,697013.824391,663443.568724,2298547.10565,0.591877099134,1360457.39312
USA,2001,10318630.267,907887.503149,1252718.02439,924669.555505,18575525.0288,-328048.468881,301587.142422,606300.360727,646417.663659,623082.413083,2177387.57989,0.583038173115,1269500.07674
