i j r c x
2 2 1 10137754.330064995 2635746.98966901
2 3 1 144418.30484299824 59570.954281000224
2 1 1 100825.9388269999 57277.616417000005
2 4 1 136894.4983389998 33154.741032999955
3 2 1 92063.14655499902 93655.17513799982
3 3 1 3406568.865683906 1166252.1525650045
3 1 1 32535.47103200012 30694.822915999986
3 4 1 37800.71766000007 22380.925320000028
1 2 1 166886.8274819999 142442.80544600007
1 3 1 120427.2129410001 85165.25347400001
1 1 1 8709069.759477 1707008.7750559994
1 4 1 89655.56256300001 32233.829244000008
4 2 1 134585.2773389998 90812.28770000002
4 3 1 50220.08774599998 36420.122277
4 1 1 41138.307204000004 26732.622357000004
4 4 1 2509601.354093 612612.1253589999

